"","y.nrm","y.str","YR","SSI","TOL","STI","MpSTI","MsSTI","ATI","YI","YSI","MP","GMP","HARM","GM","SDI","SSPI","RDI","DI"
"y.nrm",1,0.22,0.49,0.99,0.86,-0.49,0.22,-0.15,0.99,0.22,-0.49,0.91,0.71,0.48,-0.08,0.49,0.86,-0.49,-0.15
"y.str",0.22,1,-0.74,0.24,-0.3,0.74,1,0.93,0.09,1,0.74,0.61,0.84,0.96,0.95,-0.74,-0.3,0.74,0.93
"YR",0.49,-0.74,1,0.47,0.86,-1,-0.74,-0.93,0.6,-0.74,-1,0.08,-0.26,-0.53,-0.9,1,0.86,-1,-0.93
"SSI",0.99,0.24,0.47,1,0.84,-0.47,0.24,-0.13,0.98,0.24,-0.47,0.91,0.72,0.5,-0.06,0.47,0.84,-0.47,-0.13
"TOL",0.86,-0.3,0.86,0.84,1,-0.86,-0.3,-0.62,0.92,-0.3,-0.86,0.57,0.26,-0.03,-0.57,0.86,1,-0.86,-0.62
"STI",-0.49,0.74,-1,-0.47,-0.86,1,0.74,0.93,-0.6,0.74,1,-0.08,0.26,0.53,0.9,-1,-0.86,1,0.93
"MpSTI",0.22,1,-0.74,0.24,-0.3,0.74,1,0.93,0.09,1,0.74,0.61,0.84,0.96,0.95,-0.74,-0.3,0.74,0.93
"MsSTI",-0.15,0.93,-0.93,-0.13,-0.62,0.93,0.93,1,-0.28,0.93,0.93,0.28,0.58,0.79,1,-0.93,-0.62,0.93,1
"ATI",0.99,0.09,0.6,0.98,0.92,-0.6,0.09,-0.28,1,0.09,-0.6,0.84,0.61,0.36,-0.21,0.6,0.92,-0.6,-0.28
"YI",0.22,1,-0.74,0.24,-0.3,0.74,1,0.93,0.09,1,0.74,0.61,0.84,0.96,0.95,-0.74,-0.3,0.74,0.93
"YSI",-0.49,0.74,-1,-0.47,-0.86,1,0.74,0.93,-0.6,0.74,1,-0.08,0.26,0.53,0.9,-1,-0.86,1,0.93
"MP",0.91,0.61,0.08,0.91,0.57,-0.08,0.61,0.28,0.84,0.61,-0.08,1,0.94,0.8,0.34,0.08,0.57,-0.08,0.28
"GMP",0.71,0.84,-0.26,0.72,0.26,0.26,0.84,0.58,0.61,0.84,0.26,0.94,1,0.96,0.63,-0.26,0.26,0.26,0.58
"HARM",0.48,0.96,-0.53,0.5,-0.03,0.53,0.96,0.79,0.36,0.96,0.53,0.8,0.96,1,0.83,-0.53,-0.03,0.53,0.79
"GM",-0.08,0.95,-0.9,-0.06,-0.57,0.9,0.95,1,-0.21,0.95,0.9,0.34,0.63,0.83,1,-0.9,-0.57,0.9,1
"SDI",0.49,-0.74,1,0.47,0.86,-1,-0.74,-0.93,0.6,-0.74,-1,0.08,-0.26,-0.53,-0.9,1,0.86,-1,-0.93
"SSPI",0.86,-0.3,0.86,0.84,1,-0.86,-0.3,-0.62,0.92,-0.3,-0.86,0.57,0.26,-0.03,-0.57,0.86,1,-0.86,-0.62
"RDI",-0.49,0.74,-1,-0.47,-0.86,1,0.74,0.93,-0.6,0.74,1,-0.08,0.26,0.53,0.9,-1,-0.86,1,0.93
"DI",-0.15,0.93,-0.93,-0.13,-0.62,0.93,0.93,1,-0.28,0.93,0.93,0.28,0.58,0.79,1,-0.93,-0.62,0.93,1
