"","PC1","PC2"
"y.nrm",0.0900913689351157,-0.360900549190815
"y.str",-0.246321699474656,-0.197167289620238
"YR",0.282768769015844,-0.0724672176293749
"SSI",0.0844743787750406,-0.361438729096049
"TOL",0.215454080252231,-0.251682443780207
"STI",-0.282768769015844,0.0724672176293748
"MpSTI",-0.246321699474655,-0.197167289620238
"MsSTI",-0.283718443014547,-0.063686588566844
"ATI",0.125341181874376,-0.341829150688899
"YI",-0.246321699474655,-0.197167289620238
"YSI",-0.282768769015844,0.0724672176293749
"MP",-0.0323315735160386,-0.377832592524083
"GMP",-0.126957517060227,-0.341303315042053
"HARM",-0.195946913906126,-0.27814006469547
"GM",-0.278982479896236,-0.0893083279282132
"SDI",0.282768769015844,-0.072467217629375
"SSPI",0.215454080252231,-0.251682443780207
"RDI",-0.282768769015844,0.0724672176293748
"DI",-0.283718443014547,-0.0636865885668441
